pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
48009,1609612055,1609612538,5,1.55,East Chelsea,Clinton East,Credit Card,7.5,2.7,13.5
59266,1609669988,1609670797,1,3.48,Sunnyside,Midtown North,Cash,14.0,0.0,17.3
230773,1610026688,1610027049,1,0.5,Lenox Hill East,Lenox Hill West,Cash,5.5,0.0,8.8
1226437,1612025135,1612025762,1,2.0,Upper West Side North,Yorkville West,Credit Card,9.0,2.65,15.95
873737,1611328569,1611328756,1,0.6,Times Sq/Theatre District,Midtown North,Cash,4.0,0.0,7.3
798433,1611215069,1611216662,1,4.4,Yorkville East,Gramercy,Credit Card,21.0,4.86,29.16
221413,1610020422,1610020904,1,1.6,Battery Park City,West Village,Credit Card,7.0,2.0,12.3
312027,1610195543,1610196862,1,4.67,Upper West Side North,Murray Hill,Credit Card,18.0,4.26,25.56
1002522,1611600538,1611601349,1,2.21,Upper West Side South,Midtown Center,Credit Card,10.5,2.96,17.76
414495,1610435287,1610437515,1,8.26,Murray Hill,Stuyvesant Heights,Cash,30.5,0.0,33.8
664450,1610910515,1610911012,1,2.83,Gramercy,Lenox Hill East,Cash,10.0,0.0,13.3
1076733,1611757993,1611758363,1,0.7,Lenox Hill West,Upper East Side North,Credit Card,5.5,1.75,10.55
1067061,1611748652,1611748801,1,0.51,Upper West Side North,Upper West Side South,Cash,4.0,0.0,7.3
946425,1611496590,1611497144,1,1.46,Upper East Side North,Upper West Side South,Credit Card,8.5,2.36,14.16
1253594,1612099109,1612099452,2,1.1,Little Italy/NoLiTa,Union Sq,Credit Card,6.0,1.7,11.0
722539,1611062922,1611062980,1,0.11,Murray Hill,Murray Hill,Credit Card,2.5,0.87,6.67
838812,1611258136,1611258509,2,0.85,Midtown North,Midtown East,Credit Card,6.0,1.7,12.0
1246653,1612090292,1612090530,1,0.47,Upper West Side North,Upper West Side South,Credit Card,4.5,2.34,10.14
760622,1611140341,1611140983,2,3.41,East Harlem North,Lenox Hill West,Cash,12.0,0.0,15.3
25845,1609580946,1609581317,1,1.55,Lincoln Square West,Midtown North,Credit Card,7.0,2.06,12.36
550978,1610657665,1610658329,1,2.9,Midtown East,West Village,Cash,11.0,0.0,14.8
324318,1610209973,1610210234,2,0.7,Lincoln Square East,Lincoln Square East,Credit Card,5.0,2.05,10.35
