tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1611948723,1611949345,1,3.2,West Chelsea/Hudson Yards,Upper West Side North,Credit Card,11.0,3.05,18.35
1611584690,1611586504,2,7.6,Midtown North,TriBeCa/Civic Center,Cash,28.0,0.0,31.3
1611943465,1611944188,1,1.64,Lenox Hill West,Yorkville West,Credit Card,9.0,2.66,15.96
1611060950,1611061516,1,2.03,Midtown East,Upper West Side South,Credit Card,9.0,2.46,14.76
1610604302,1610604777,1,1.3,Murray Hill,Penn Station/Madison Sq West,Credit Card,7.5,2.16,12.96
1610459667,1610460477,1,2.09,World Trade Center,Lower East Side,Credit Card,11.0,2.86,17.16
1611945225,1611946381,1,3.6,Garment District,Yorkville West,Credit Card,15.5,2.0,21.8
1611854370,1611854578,1,0.5,East Village,Greenwich Village South,Cash,4.5,0.0,8.8
1609932524,1609933325,1,2.7,Yorkville West,Bloomingdale,Credit Card,11.5,0.0,14.8
1612115562,1612115871,1,1.27,Midtown Center,Upper East Side South,Cash,6.0,0.0,9.3
1611050552,1611051041,1,1.7,Upper East Side North,Midtown East,Credit Card,8.0,2.25,13.55
1609756301,1609756811,1,1.32,Upper West Side North,Upper East Side North,Cash,7.5,0.0,10.8
1611571641,1611571783,1,0.23,Kips Bay,Kips Bay,Dispute,-3.5,0.0,-6.8
1611989296,1611989735,1,2.2,Lincoln Square East,Upper East Side North,Cash,9.0,0.0,12.3
1609644360,1609645620,1,11.59,East Harlem North,Downtown Brooklyn/MetroTech,Cash,32.0,0.0,35.8
1611159556,1611160252,2,2.51,Little Italy/NoLiTa,Battery Park City,Credit Card,10.5,2.96,17.76
1611570992,1611571294,1,0.7,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Credit Card,5.5,1.75,10.55
1610524389,1610524816,1,1.28,Central Harlem,East Harlem North,Cash,6.5,0.0,7.3
1610182027,1610182248,1,1.37,Sutton Place/Turtle Bay North,Lenox Hill West,Credit Card,5.5,1.76,10.56
1609750905,1609751187,1,0.97,Lenox Hill West,Yorkville West,Credit Card,5.5,2.2,11.0
1610124169,1610125710,1,6.3,Lenox Hill West,Washington Heights South,Credit Card,22.0,5.26,31.56
1609926355,1609927228,1,3.27,Bloomingdale,Upper East Side South,Credit Card,13.0,3.26,19.56
1610744191,1610744640,1,1.33,Midtown South,Clinton East,Credit Card,7.0,2.16,12.96
1611093739,1611093795,1,0.0,NV,NV,Credit Card,30.0,0.0,30.3
1611578745,1611579667,1,0.0,Kew Gardens,East New York,Credit Card,22.2,0.0,23.0
1611937184,1611937576,2,1.09,Upper East Side North,Upper East Side South,Cash,6.5,0.0,10.8
1610635986,1610636540,1,3.02,East Village,Financial District North,Credit Card,11.0,4.29,18.59
1611409366,1611409586,1,1.06,Upper East Side North,Upper East Side South,Credit Card,5.5,1.76,10.56
1611058111,1611058484,1,0.68,UN/Turtle Bay South,Murray Hill,Cash,6.0,0.0,9.3
1611446074,1611446147,3,0.62,East Harlem North,East Harlem South,Credit Card,4.0,0.0,5.3
1611500170,1611501618,1,11.2,JFK Airport,Rockaway Park,Credit Card,32.0,7.0,42.09
1611344152,1611345238,1,4.34,Upper West Side South,West Village,Credit Card,16.0,5.08,25.38
1612012804,1612014307,1,3.26,Greenwich Village North,Gramercy,Cash,17.0,0.0,20.3
1611252924,1611253264,1,0.82,Upper East Side North,Upper East Side South,Credit Card,5.5,1.96,11.76
1610807462,1610807657,2,0.97,Murray Hill,Midtown Center,Credit Card,5.0,1.66,9.96
1609516370,1609517023,2,1.95,Midtown North,Garment District,Credit Card,9.5,2.56,15.36
1609948934,1609949794,1,2.84,East Chelsea,Upper East Side South,Cash,12.0,0.0,16.3
1610200602,1610202115,2,8.1,Lower East Side,Central Harlem,Credit Card,27.5,5.0,35.8
1611561794,1611562854,1,3.17,Lenox Hill West,Gramercy,Cash,15.0,0.0,18.3
1610182064,1610182260,1,0.87,Greenwich Village South,Union Sq,Credit Card,5.0,1.0,9.3
1610625237,1610626003,1,0.9,UN/Turtle Bay South,Midtown East,Credit Card,9.0,3.65,15.95
1610102448,1610102808,1,0.94,West Village,Union Sq,Credit Card,6.0,1.86,11.16
1609544211,1609544882,1,6.63,LaGuardia Airport,Central Harlem North,Credit Card,19.0,7.93,34.35
1610519534,1610519862,0,1.6,Garment District,Midtown North,Cash,7.0,0.0,10.3
1610879037,1610879331,1,0.96,Lincoln Square East,Upper East Side South,Credit Card,5.5,1.08,9.88
1609758067,1609758837,1,2.19,Upper West Side South,Lenox Hill West,Credit Card,10.5,2.35,16.15
1609586580,1609587269,4,5.21,LaGuardia Airport,Forest Hills,Credit Card,16.5,3.46,20.76
1610395671,1610396561,1,3.78,Yorkville West,Manhattanville,Credit Card,14.0,3.56,21.36
1610178237,1610178685,1,1.5,Penn Station/Madison Sq West,Greenwich Village North,Credit Card,7.5,2.15,12.95
1610382737,1610383184,1,0.9,Midtown Center,Upper East Side South,Cash,6.5,0.0,10.8
1609622940,1609623430,2,2.12,West Village,West Chelsea/Hudson Yards,Credit Card,8.5,2.46,14.76
1610353071,1610353316,1,0.56,Upper West Side South,Upper West Side North,Cash,4.5,0.0,7.8
1609624211,1609624396,1,0.73,Kips Bay,UN/Turtle Bay South,Credit Card,4.5,2.0,10.3
1610032474,1610033307,1,2.48,Gramercy,Midtown Center,Cash,11.0,0.0,14.3
1610708218,1610708740,1,2.03,Upper East Side South,Murray Hill,Credit Card,9.0,0.0,12.3
1612031512,1612032070,1,1.26,Flatiron,Gramercy,Credit Card,8.0,1.0,12.3
1611585726,1611585986,1,0.8,Union Sq,Flatiron,Credit Card,5.0,1.65,9.95
1611905476,1611906513,1,2.7,Garment District,Lenox Hill East,Credit Card,13.5,4.2,21.0
1611304955,1611305414,0,1.0,Yorkville East,Lenox Hill East,Credit Card,6.5,1.0,10.8
1610624881,1610626552,1,4.3,Little Italy/NoLiTa,Upper East Side South,Credit Card,19.5,7.0,29.8
1611774176,1611775631,1,12.25,JFK Airport,Oakland Gardens,Cash,35.5,0.0,37.3
1609620258,1609621330,1,6.2,Midtown East,East Williamsburg,Credit Card,20.0,5.95,35.87
